avg. total score,avg. route score,avg. infraction penalty,collisions with layout,collisions with pedestrians,collisions with vehicles,off-road infractions,red lights infractions,route deviation infractions,stop sign infractions,timeouts,vehicle blocked,precipitation,precipitation_deposits,cloudiness,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,wetness,fault_scenario,fault_step,fault_time,fault_type
100,100,1,0,0,0,0,0,0,0,0,0,46.6,30.049,20.276,0,0,70,0,0,0,0,51,581,-1
58.298,97.163,0.6,0,0,1,0,0,0,0,0.144,0,46.6,30.049,20.276,0,0,70,0,0,0,1,80,646,9
81.562,81.562,1,0,0,0,0,0,0,0,0.172,0,46.6,30.049,20.276,0,0,70,0,0,0,1,98,790,7
57.447,95.745,0.6,0,0,1,0,0,0,0,0.146,0,46.6,30.049,20.276,0,0,70,0,0,0,0,74,844,-1
100,100,1,0,0,0,0,0,0,0,0,0,46.6,30.049,20.276,0,0,70,0,0,0,0,64,728,-1
58.298,97.163,0.6,0,0,1,0,0,0,0,0.144,0,46.6,30.049,20.276,0,0,70,0,0,0,0,64,878,-1
53.192,88.654,0.6,0,0,1,0,0,0,0,0.158,0,46.6,30.049,20.276,0,0,70,0,0,0,0,91,593,-1
69.351,69.351,1,0,0,0,0,0,0,0,0,0,46.6,30.049,20.276,0,0,70,0,0,0,1,83,647,3
100,100,1,0,0,0,0,0,0,0,0,0,46.6,30.049,20.276,0,0,70,0,0,0,1,80,725,6
91.49,91.49,1,0,0,0,0,0,0,0,0,0,46.6,30.049,20.276,0,0,70,0,0,0,1,95,910,1
