GPU Utilization,GPU Memory,CPU Utilization,CPU Memory
0,97.30497035416144,17.4,9.809541017960251
2,97.30497035416144,26.0,9.852013898683385
11,97.30497035416144,24.5,9.805991507303187
11,97.30497035416144,24.1,9.838682773260867
7,97.30497035416144,22.7,9.828328265656653
4,97.30497035416144,22.5,9.821874885478268
9,97.30497035416144,22.8,9.81582465211234
9,97.30497035416144,22.3,9.820247142333226
9,97.30497035416144,22.9,9.82767959334187
2,97.30497035416144,22.8,9.847545940776884
9,97.30497035416144,23.3,9.836864065836238
9,97.30497035416144,23.0,9.840189269244267
0,97.30497035416144,23.2,9.850240658944374
11,97.30497035416144,22.9,9.845806044007324
11,97.30497035416144,22.9,9.797010123804567
9,97.30497035416144,22.6,9.797949789307292
0,97.30497035416144,22.1,9.802363185991055
5,97.30497035416144,21.8,9.812111457787058
9,97.30497035416144,22.2,9.808574071846158
11,97.30497035416144,22.3,9.80797389839603
9,97.30497035416144,22.1,9.799753340836714
2,97.30497035416144,22.2,9.801814542584625
